put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini,c_breakeven_price,c_net_investment,m_equity_required,c_pts_downside_protection,c_profit_if_exercised,c_profit_if_unchanged,m_net_investment,m_debit_balance,c_downside_protection,c_return_if_exercised,c_return_if_unchanged,m_interest_changes,m_profit_if_unchanged,c_annualized_return_if_unchanged,m_profit_if_exercised,m_return_if_unchanged,m_breakeven_price,m_return_if_exercised,m_pts_downside_protection,m_annualized_return_if_unchanged,m_downside_protection
PUT,AAPL  250627P00195000,AAPL 06/27/2025 195.00 P,OPR,4.05,4.2,3.92,4.13,33,36,33X36,1,5.76,3.7,0,4.53,1396,1748635159026,1748635200710,-0.61,31.225,-0.34,0.021,-0.108,0.204,-0.054,2272,3.92,4.125,29,195.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-13.48,-0.4,-8.84,-5.85,9.77,AAPL,A,9.2,2.13,true,false,false,false,195.95,19595.65,20.0,-191.89999999999998,-95.65000000000146,404.34999999999854,-384.35,180.0,-0.9594999999999999,-0.004881185365119374,0.020634681676800642,1.4000000000000001,788.6999999999986,0.2689878147154369,-97.05000000000146,-2.05203590477429,-2.0295,0.2525042279172667,202.0295,-26.749753758664855,1.0101475
PUT,AAPL  250627P00200000,AAPL 06/27/2025 200.00 P,OPR,5.95,6.1,5.7,6.03,8,22,8X22,5,8.09,5.41,0,6.48,291,1748635161013,1748635199971,-0.77,30.117,-0.453,0.024,-0.111,0.22,-0.07,2528,5.7,6.025,29,200.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-11.89,-0.45,-6.95,-0.85,6.55,AAPL,A,11.55,2.98,true,false,false,false,194.05,19405.65,20.0,-188.10000000000002,594.3499999999985,594.3499999999985,-574.35,180.0,-0.9405000000000001,0.03062767802160703,0.03062767802160703,1.4000000000000001,1168.6999999999985,0.3992536599245202,592.9499999999986,-2.0348219726647487,-3.9295000000000004,-1.0323844345782163,203.9295,-26.52535785795119,1.0196475
PUT,AAPL  250627P00205000,AAPL 06/27/2025 205.00 P,OPR,8.45,8.6,8.85,8.52,4,5,4X5,4,11.05,8.71,0,9.07,46,1748634465779,1748635199792,-0.22,29.189,-0.575,0.025,-0.104,0.218,-0.086,687,4.7,8.544,29,205.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-2.43,-0.55,-6.02,4.15,4.7,AAPL,A,14.64,4.15,true,false,true,false,191.55,19155.65,20.0,-183.10000000000002,1344.3499999999985,844.3499999999985,-824.3499999999999,180.0,-0.9155000000000001,0.07018033843800646,0.04407837896390874,1.4000000000000001,1668.6999999999985,0.5745931543509533,1342.9499999999985,-2.024261539394673,-6.429499999999999,-1.6291017165039106,206.4295,-26.387695067109128,1.0321475
PUT,AAPL  250627P00210000,AAPL 06/27/2025 210.00 P,OPR,11.6,12.15,14.53,11.88,10,139,10X139,1,14.53,12.75,0,12.35,26,1748623713727,1748635199993,2.18,28.49,-0.695,0.023,-0.088,0.195,-0.096,817,5.38,11.716,29,210.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,17.65,-0.48,-3.85,9.15,5.38,AAPL,A,18.13,5.85,true,false,true,false,188.4,18840.65,20.0,-176.8,2159.3499999999985,1159.3499999999985,-1139.35,180.0,-0.8840000000000001,0.11461122625811733,0.061534501198206984,1.4000000000000001,2298.6999999999985,0.8021461763337696,2157.9499999999985,-2.017553868433755,-9.5795,-1.8940185193311965,209.5795,-26.30025578494002,1.0478975
PUT,AAPL  250627P00215000,AAPL 06/27/2025 215.00 P,OPR,15.2,15.9,15.09,15.55,85,149,85X149,2,18.52,14.55,0,16.18,98,1748635168039,1748635199922,-1.09,28.034,-0.799,0.019,-0.066,0.155,-0.097,147,0.94,15.492,29,215.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-6.73,-0.63,-3.92,14.15,0.94,AAPL,A,20.37,7.95,true,false,true,false,184.8,18480.65,20.0,-169.60000000000002,3019.3499999999985,1519.3499999999985,-1499.35,180.0,-0.8480000000000001,0.16337899370422568,0.0822130173992797,1.4000000000000001,3018.6999999999985,1.0717054053834676,3017.9499999999985,-2.013339113615899,-13.179499999999997,-2.0128388968553033,213.1795,-26.245313445350114,1.0658975
PUT,AAPL  250703P00195000,AAPL 07/03/2025 195.00 P,OPR,4.5,4.7,4.21,4.6,29,10,29X10,1,6.23,4.21,0,4.9,532,1748635027131,1748635200719,-0.69,30.573,-0.348,0.02,-0.096,0.227,-0.067,290,4.21,4.6,29,195.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,-14.08,-0.3,-6.12,-5.85,10.06,AAPL,A,8.3,3.9,true,false,false,false,195.5,19550.65,20.0,-191.0,-50.650000000001455,449.34999999999854,-429.35,180.0,-0.9550000000000001,-0.002590706702846271,0.02298389056118331,1.7,878.6999999999986,0.24673882514211495,-52.35000000000146,-2.0465820426225654,-2.4765,0.12192849656457774,202.4765,-21.970660163448127,1.0123825
PUT,AAPL  250703P00200000,AAPL 07/03/2025 200.00 P,OPR,6.4,6.8,6.5,6.6,2,61,2X61,1,8.5,6.5,0,7.0,202,1748634691163,1748635199976,-0.5,29.858,-0.452,0.022,-0.099,0.243,-0.085,297,6.5,6.6,29,200.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,-7.14,-0.4,-5.71,-0.85,7.35,AAPL,A,10.75,5.79,true,false,false,false,193.6,19360.65,20.0,-187.2,639.3499999999985,639.3499999999985,-619.35,180.0,-0.9359999999999999,0.03302316812710309,0.03302316812710309,1.7,1258.6999999999985,0.3545134225409597,637.6499999999985,-2.032291918947281,-4.3765,-1.0295471058367618,204.3765,-21.817251482816395,1.0218825
PUT,AAPL  250703P00205000,AAPL 07/03/2025 205.00 P,OPR,8.75,9.1,9.25,8.93,19,10,19X10,1,11.3,9.25,0,9.21,13,1748633133829,1748635199967,0.04,28.55,-0.566,0.023,-0.092,0.241,-0.102,31,5.1,8.994,29,205.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,0.43,-0.28,-3.05,4.15,5.1,AAPL,A,13.52,7.88,true,false,true,false,191.25,19125.65,20.0,-182.5,1374.3499999999985,874.3499999999985,-854.35,180.0,-0.9125,0.0718589956419781,0.045716093309246926,1.7,1728.6999999999985,0.49077570758456257,1372.6499999999985,-2.0234096096447574,-6.7265,-1.606660033943932,206.7265,-21.721897280009895,1.0336325
PUT,AAPL  250703P00210000,AAPL 07/03/2025 210.00 P,OPR,10.8,13.2,12.58,12.0,8,100,8X100,1,14.84,12.55,0,12.4,4,1748633034171,1748635199768,0.18,27.75,-0.679,0.022,-0.079,0.219,-0.115,30,3.43,12.076,29,210.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,1.45,-0.4,-3.23,9.15,3.43,AAPL,A,16.43,10.75,true,false,true,false,189.2,18920.65,20.0,-178.39999999999998,2079.3499999999985,1079.3499999999985,-1059.35,180.0,-0.8919999999999999,0.10989844429234716,0.05704613742128301,1.7,2138.6999999999985,0.6124070634931853,2077.6499999999987,-2.018879501581157,-8.776499999999999,-1.9612498230046715,208.7765,-21.673265237562422,1.0438825
PUT,AAPL  250703P00215000,AAPL 07/03/2025 215.00 P,OPR,15.25,16.5,16.68,15.88,150,150,150X150,1,18.8,16.38,0,16.2,13,1748634391830,1748635199562,0.48,27.612,-0.777,0.019,-0.063,0.182,-0.118,14,2.53,15.823,29,215.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,2.96,-0.33,-2.03,14.15,2.53,AAPL,A,20.37,15.7,true,false,true,false,184.75,18475.65,20.0,-169.5,3024.3499999999985,1524.3499999999985,-1504.35,180.0,-0.8475,0.16369383485831343,0.08250589289145434,1.7,3028.6999999999985,0.8857250266288481,3022.6499999999987,-2.013294778475753,-13.226499999999998,-2.0092731079868376,213.2265,-21.61331159246029,1.0661325
