put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini
PUT,AAPL  250613P00202500,AAPL 06/13/2025 202.50 P,OPR,5.65,5.8,5.6,5.73,8,6,8X6,2,7.96,5.05,0,6.27,393,1748635183173,1748635200727,-0.67,31.474,-0.536,0.032,-0.172,0.157,-0.041,214,3.95,5.757,29,202.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-10.69,-0.54,-8.62,1.65,3.95,AAPL,A,8.1,4.75,true,false,true,false
PUT,AAPL  250613P00205000,AAPL 06/13/2025 205.00 P,OPR,6.9,7.25,7.05,7.08,34,2,34X2,1,9.73,6.5,0,7.72,147,1748635184707,1748635199966,-0.67,30.982,-0.616,0.031,-0.162,0.15,-0.046,3856,2.9,7.181,29,205.0,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-8.67,-0.65,-8.4,4.15,2.9,AAPL,A,15.0,3.15,true,false,true,false
PUT,AAPL  250613P00207500,AAPL 06/13/2025 207.50 P,OPR,8.35,8.95,8.41,8.65,112,79,112X79,62,11.45,8.0,0,9.43,185,1748635160212,1748635199901,-1.02,30.666,-0.692,0.029,-0.146,0.138,-0.05,112,1.76,8.825,29,207.5,2025-06-13T20:00:00.000+00:00,14,W,1749859200000,100,P,100 AAPL,-10.82,-0.78,-8.23,6.65,1.76,AAPL,A,11.45,7.7,true,false,true,false
PUT,AAPL  250620P00197500,AAPL 06/20/2025 197.50 P,OPR,4.25,4.4,3.75,4.33,1,95,1X95,1,6.1,3.75,0,4.68,785,1748635097336,1748635199992,-0.92,31.396,-0.389,0.025,-0.133,0.185,-0.046,2893,3.75,4.325,29,197.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-19.68,-0.35,-7.49,-3.35,7.1,AAPL,A,9.35,2.6,true,false,false,false
PUT,AAPL  250620P00200000,AAPL 06/20/2025 200.00 P,OPR,5.2,5.35,5.24,5.28,15,3,15X3,1,7.5,4.72,0,5.75,2207,1748635195537,1748635199958,-0.51,30.474,-0.454,0.027,-0.132,0.191,-0.053,43945,5.24,5.275,29,200.0,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-8.87,-0.47,-8.26,-0.85,6.09,AAPL,A,36.34,1.53,true,false,false,false
PUT,AAPL  250620P00202500,AAPL 06/20/2025 202.50 P,OPR,6.4,6.55,5.84,6.48,11,30,11X30,2,8.7,5.84,0,6.99,194,1748635083985,1748635199907,-1.15,30.081,-0.523,0.028,-0.13,0.192,-0.06,2458,4.19,6.49,29,202.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-16.45,-0.52,-7.37,1.65,4.19,AAPL,A,12.2,3.9,true,false,true,false
PUT,AAPL  250620P00205000,AAPL 06/20/2025 205.00 P,OPR,7.6,7.95,7.75,7.78,95,10,95X10,1,10.45,7.15,0,8.4,1147,1748635184593,1748635200182,-0.65,29.355,-0.593,0.028,-0.122,0.187,-0.066,16271,3.6,7.815,29,205.0,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-7.74,-0.63,-7.44,4.15,3.6,AAPL,A,37.21,1.92,true,false,true,false
PUT,AAPL  250620P00207500,AAPL 06/20/2025 207.50 P,OPR,9.35,9.75,8.65,9.55,20,118,20X118,2,12.12,8.65,0,10.01,28,1748635100766,1748635199971,-1.36,29.196,-0.661,0.027,-0.113,0.176,-0.071,850,2.0,9.417,29,207.5,2025-06-20T20:00:00.000+00:00,21,S,1750464000000,100,P,100 AAPL,-13.59,-0.46,-4.59,6.65,2.0,AAPL,A,14.6,5.42,true,false,true,false
PUT,AAPL  250627P00195000,AAPL 06/27/2025 195.00 P,OPR,4.05,4.2,3.92,4.13,33,36,33X36,1,5.76,3.7,0,4.53,1396,1748635159026,1748635200710,-0.61,31.225,-0.34,0.021,-0.108,0.204,-0.054,2272,3.92,4.125,29,195.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-13.48,-0.4,-8.84,-5.85,9.77,AAPL,A,9.2,2.13,true,false,false,false
PUT,AAPL  250627P00200000,AAPL 06/27/2025 200.00 P,OPR,5.95,6.1,5.7,6.03,8,22,8X22,5,8.09,5.41,0,6.48,291,1748635161013,1748635199971,-0.77,30.117,-0.453,0.024,-0.111,0.22,-0.07,2528,5.7,6.025,29,200.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-11.89,-0.45,-6.95,-0.85,6.55,AAPL,A,11.55,2.98,true,false,false,false
